epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,371.639,2.13328,0.97437,0.99934,0.11207,8.52784e-05,8.52784e-05,8.52784e-05
2,613.496,0.4345,0.98864,1,0.04473,0.000162166,0.000162166,0.000162166
3,836.077,0.28084,0.99455,1,0.0192,0.000230607,0.000230607,0.000230607
4,1057.2,0.22408,0.99343,1,0.02298,0.000217984,0.000217984,0.000217984
5,1279.08,0.19764,0.99437,1,0.01768,0.000205312,0.000205312,0.000205312
6,1501.77,0.17318,0.99615,1,0.01358,0.00019264,0.00019264,0.00019264
7,1729.56,0.1484,0.99624,1,0.01317,0.000179968,0.000179968,0.000179968
8,1951.26,0.14122,0.99944,1,0.00488,0.000167296,0.000167296,0.000167296
9,2171.02,0.12703,0.99859,1,0.00588,0.000154624,0.000154624,0.000154624
10,2390.05,0.11928,0.99906,1,0.00524,0.000141952,0.000141952,0.000141952
11,2608.58,0.1113,0.99897,1,0.00658,0.00012928,0.00012928,0.00012928
12,2827.22,0.11053,0.99934,1,0.00408,0.000116608,0.000116608,0.000116608
13,3051.84,0.09998,0.99962,1,0.00319,0.000103936,0.000103936,0.000103936
14,3283.9,0.08559,0.99878,1,0.00527,9.1264e-05,9.1264e-05,9.1264e-05
15,3603.52,0.08154,0.99962,1,0.00273,7.8592e-05,7.8592e-05,7.8592e-05
16,3874.77,0.07856,0.99953,1,0.00284,6.592e-05,6.592e-05,6.592e-05
17,4126.26,0.07129,0.99981,1,0.00201,5.3248e-05,5.3248e-05,5.3248e-05
18,4348.14,0.07194,0.99981,1,0.00229,4.0576e-05,4.0576e-05,4.0576e-05
19,4569.61,0.06602,0.99991,1,0.00229,2.7904e-05,2.7904e-05,2.7904e-05
20,4795.24,0.06765,1,1,0.00172,1.5232e-05,1.5232e-05,1.5232e-05
